code,categorie,libelle,description,type_valeur,unite,ordre,filtre_recherche,libelle_fr,libelle_de,libelle_es,libelle_it,libelle_lb,libelle_nl,libelle_pl,description_fr,description_de,description_es,description_it,description_lb,description_nl,description_pl
TEC_HALL_DACCUEIL,Équipements,Hall d'accueil,Surface du hall d'accueil principal,Nombre,m²,10,Non,Hall d'accueil,Eingangshalle,Vestíbulo,Atrio,Entréeshall,Receptiehal,Hall powitalny,Surface du hall d'accueil principal,Haupteingangsbereich,Superficie del vestíbulo principale,Superficie dell'atrio principale,Haaptentréeshal,Oppervlakte van de hoofdreceptie,Powierzchnia głównego holu
TEC_CLIMATISATION,Équipements,Climatisation,Système de climatisation installé,Indicateur,,20,Non,Climatisation,Klimatisierung,Climatización,Climatizzazione,Klimatisatioun,Airconditioning,Klimatyzacja,Système de climatisation installé,Installierte Klimaanlage,Sistema de climatización instalado,Sistema di climatizzazione installato,Installéiert Klimatisatioun,Geïnstalleerd airconditioningsysteem,Zainstalowany system klimatyzacji
TEC_SURFACE_TOTALE,Équipements,Surface totale,Surface totale exploitable,Nombre,m²,5,Oui,Surface totale,Gesamtfläche,Superficie total,Superficie totale,Gesamtfläch,Totale oppervlakte,Powierzchnia całkowita,Surface totale exploitable,Nutzbare Gesamtfläche,Superficie total aprovechable,Superficie totale utilizzabile,Nutzbar Gesamtfläch,Bruikbare totale oppervlakte,Użytkowa powierzchnia całkowita
TEC_PARKING,Équipements,Parking,Présence de places de parking,Oui/Non,,30,Oui,Parking,Parkplatz,Aparcamiento,Parcheggio,Parking,Parkeren,Parking,Présence de places de parking,Parkplätze vorhanden,Plazas de aparcamiento disponibles,Posti auto disponibili,Parkplaze verfügbar,Parkeerplaatsen aanwezig,Dostępne miejsca parkingowe
PREST_CONCIERGE,Services,Conciergerie,Service de conciergerie sur site,Indicateur,,10,Non,Conciergerie,Concierge-Service,Servicio de conserjería,Servizio di portineria,Concierge-Service,Conciërgedienst,Usługi concierge,Service de conciergerie sur site,Concierge-Service vor Ort,Servicio de conserjería in situ,Servizio di portineria in loco,Concierge-Service op der Plaz,Conciërgedienst ter plaatse,Usługa concierge na miejscu
PREST_RESTAURANT,Services,Restauration,Restaurant ou restauration sur site,Texte,,20,Non,Restauration,Verpflegung,Restauración,Ristorazione,Restauratioun,Catering,Usługi gastronomiczne,Restaurant ou restauration sur site,Restaurant oder Verpflegung vor Ort,Restaurante o catering in situ,Ristorante o ristorazione in loco,Restaurant oder Restauratioun,Restaurant of catering ter plaatse,Restauracja lub catering na miejscu
ETAT_ANNEE_CONSTRUCTION,État du bâtiment,Année de construction,Année de construction du bâtiment,Date,,10,Non,Année de construction,Baujahr,Año de construcción,Anno di costruzione,Baujoer,Bouwjaar,Rok budowy,Année de construction du bâtiment,Baujahr des Gebäudes,Año de construcción del edificio,Anno di costruzione dell'edificio,Baujoer vum Gebai,Bouwjaar van het gebouw,Rok budowy budynku
ETAT_HAUTEUR_PLAFOND,État du bâtiment,Hauteur sous plafond,Hauteur libre sous plafond,Nombre,m,20,Non,Hauteur sous plafond,Lichte Höhe,Altura libre,Altezza libera,Licht Héicht,Vrije hoogte,Wysokość pod sufitem,Hauteur libre sous plafond,Lichte Raumhöhe,Altura libre bajo techo,Altezza libera sotto soffitto,Licht Héicht ënner der Plafong,Vrije hoogte onder plafond,Wysokość użytkowa pod sufitem
INFO_COMMENTAIRE,Informations complémentaires,Commentaire complémentaire,Information textuelle complémentaire,Texte,,10,Non,Commentaire complémentaire,Zusätzlicher Kommentar,Comentario adicional,Commento aggiuntivo,Zousätzlechen Kommentar,Aanvullende opmerking,Dodatkowy komentarz,Information textuelle complémentaire,Zusätzliche textuelle Information,Información textual complementaria,Informazione testuale aggiuntiva,Zousätzlech Textinformatioun,Aanvullende tekstinformatie,Dodatkowe informacje tekstowe
INFO_NORME_LABEL,Informations complémentaires,Label certification,Label environnemental ou qualité,Texte,,20,Non,Label certification,Zertifizierungslabel,Etiqueta de certificación,Etichetta di certificazione,Zertifizéierungslabel,Certificeringslabel,Etykieta certyfikacji,Label environnemental ou qualité,Umwelt- oder Qualitätszertifizierung,Certificación medioambiental o de calidad,Certificazione ambientale o di qualità,Ëmwelt- oder Qualitéitslabel,Milieu- of kwaliteitscertificering,Certyfikat środowiskowy lub jakościowy
